Nombre,Dirección,Latitud,Longitud,Teléfono,Horario,Página Web,Rating,Reseñas,Precio,Popularidad
Estilo,"Koyuska, Río Grande, Tierra del Fuego, Argentina",-53.8034001,-67.6576852,,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:30\u2009–\u20098:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:30\u202fPM', 'Sunday: Closed']",,5.0,"['Top-notch stylist', 'Very good', '']",,3.0
Showroom Jimena,"Tamara Castro 753, V9420 Río Grande, Tierra del Fuego, Argentina",-53.8033629,-67.765513,02964 48-9955,"['Monday: 2:00\u2009–\u200911:00\u202fPM', 'Tuesday: 2:00\u2009–\u200911:00\u202fPM', 'Wednesday: 2:00\u2009–\u200911:00\u202fPM', 'Thursday: 2:00\u2009–\u200911:00\u202fPM', 'Friday: 2:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 2:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 2:00\u2009–\u200910:00\u202fPM']",https://www.facebook.com/pijamas.jimena,4.8,"['Excellent atention. beautiful clothes', 'Excellent service and clothes!! I loved it💕💖💖', 'Beautiful clothes 😍😍', '💋', '']",,16.0
INTENZA INDUMENTARIA,"Batalla de, Isla Georgias 828, V9420 Río Grande, Tierra del Fuego, Argentina",-53.8082512,-67.6790791,02964 50-7368,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,,[],,
Mercería Generos Y Ajuares,"297, Paradelo, El Calafate, Santa Cruz, Argentina",-50.3413019,-72.2623764,02902 49-1178,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:30\u2009–\u20098:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:30\u2009–\u20098:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:30\u2009–\u20098:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:30\u2009–\u20098:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:30\u2009–\u20098:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']",,4.8,"['Very good service and it is a haberdashery that has varieties and affordable prices', 'Excellent place to buy everything you need to upholster, make clothes, make curtains or table linens. The women who serve have extensive experience in the field, both for advice and for carrying out the most varied and demanding jobs. The results I had were top-notch and I recommend it 100%. Another important thing is that it is a very cheap place.', 'Lots of variety. Very friendly service and they have plenty of accessories. The place is warm and they take care of the number of people inside the premises. They use alcohol to gain access.', 'Géneros y ajuares is a charming place where you find that special thing you are looking for in upholstery goods and fabrics. Excellent!', 'Excellent service, highly recommended and all of very good quality.']",,39.0
TAPICERIA EL CALAFATE,"Hielos Continentales 823, El Calafate, Santa Cruz, Argentina",-50.3424464,-72.2592342,,,,4.0,['Well'],,1.0
RICARDO KARPINTERO CALAFATE,"Amancay 3026, Z9405 El Calafate, Santa Cruz, Argentina",-50.35500099999999,-72.2917385,02966 44-7659,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']",,4.9,"['Excellent work, I did it and installed it approximately 7 years ago.', 'Serious, punctual, responsible and dedicated to the details. Unique, beautiful work at fair prices. I recommend 100%!', 'Truly incredible attention. Predisposed, friendly. Very good work. Be sure to visit him if what you need is a real carpenter!', 'Very good service, predisposition and patience with the client, excellent work and completion... congratulations Ricardo and Andrés!!!', 'Excellent quality work and very good service']",,11.0
"Tienda y Colchoneria ""Los Tres Pinos""","E. Leman 49, El Calafate, Santa Cruz, Argentina",-50.338091,-72.271988,02902 49-1313,,,4.5,"[""Excellent products. They don't lack anything. Excellent atention"", '', '', '', '']",,6.0
JC Hogar,"Monseñor Fagnano 1486, Z9405 El Calafate, Santa Cruz, Argentina",-50.34947440000001,-72.27166629999999,02966 50-3454,"['Monday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",,4.4,"['Super good service, only the prices are very high', ""What you think you won't find in Calafate you will find at JC Hogar. And they also know what they sell."", 'The man who attended to me started to applaud because I said thermocouple... And he screamed while applauding, he said it right, he said it right! Look, there are even men who say it wrong. A medieval lord', 'Good service, you have everything brand name, but depending on what you are looking for the price hurts.', 'You always find the little thing in the shower, the toilet aid, that thing in the kitchen. And that plastic from the under counter. They are geniuses at understanding me.']",,53.0
HiperTehuelche,"Calle 4 000 Nº 66, Z9405 El Calafate, Santa Cruz, Argentina",-50.34538740000001,-72.26987319999999,02902 49-4136,"['Monday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20098:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20098:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20098:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20098:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20098:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",http://www.hipertehuelche.com/,3.7,"['Corralon', ""It's very good!!! They have everything for construction, doors, windows...heaters, tables, chairs, bricks...screws...tools of all kinds, welders, miter saws, very complete, box spring mattresses, mirrors......etc etc. ..."", 'Always good service and above all predisposition in any tool or product you want to carry, 10 points', 'It is not as nice and complete as the one in Río Gallegos, but they have good offers.', 'The prices are very expensive. In other places you can get the same product for less value and within the same city']",,319.0
Costuras Petit,"Las 900 Viviendas, Z9405 El Calafate, Santa Cruz, Argentina",-50.32583349999999,-72.2332424,02966 46-6978,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM']",,4.5,"['Excellent work..', '']",,2.0
Berberys,"Av. 17 de Octubre 24, Z9405 El Calafate, Santa Cruz, Argentina",-50.33917520000001,-72.273876,02902 49-2863,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Closed']",http://www.berberys.com.ar/,4.7,"['Very good scented candles! Very good service and cozy place.', 'Excellent service and very good products!', '']",,3.0
Finisterre Calafate,"Av. del Libertador 1032 z9405, Z9405 El Calafate, Santa Cruz, Argentina",-50.33782679999999,-72.2634788,02966 49-8863,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20099:00\u202fPM']",,3.6,"['Nice shop to get something special as a souvenir. A lot of paintings and self made souvenirs by the owner who is also very pleasant and friendly. At least go in and take a look.', 'Na porta da loja diz: todas mercadorias tem preço. Você perde tempo escolhendo alguma coisa que te agrade e quando chega pra comprar é o dobro do preço que está marcado. Uma enganação total.', '$16,000 a scoop of brogues (March 2024). It is known that Calafate is a little more expensive, but that they charge three times as much for a product as anywhere in Argentina... It is a lack of respect', 'Very good online and Wapp service, shipping too, with the possibility of free exchanges and to the entire country as reported, highly recommended!', 'Excellent attention. A store where you find all the clothing and footwear from the top brands for men, women and children!']",,34.0
Berberys,"Cmte. Tomás Espora 65, Z9405 El Calafate, Santa Cruz, Argentina",-50.3372606,-72.2632699,,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20097:00\u202fPM']",,4.3,"['They have everything, the employees love people.', 'Muitos produtos bonitos, porém a atenção é falha. Parece que a prioridade é dada ao cliente que gasta mais que ao que gasta menos.\n\nNem tudo tem preço e sempre tem que estar perguntando.', '🤩']",,3.0
Colorshop El Calafate,"Maestro Lang, El Calafate, Santa Cruz, Argentina",-50.3505731,-72.2637546,02902 49-6455,"['Monday: 9:30\u202fAM\u2009–\u200912:30\u202fPM, 2:30\u2009–\u20097:00\u202fPM', 'Tuesday: 9:30\u202fAM\u2009–\u200912:30\u202fPM, 2:30\u2009–\u20097:00\u202fPM', 'Wednesday: 9:30\u202fAM\u2009–\u200912:30\u202fPM, 2:30\u2009–\u20097:00\u202fPM', 'Thursday: 9:30\u202fAM\u2009–\u200912:30\u202fPM, 2:30\u2009–\u20097:00\u202fPM', 'Friday: 9:30\u202fAM\u2009–\u200912:30\u202fPM, 2:30\u2009–\u20097:00\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20091:00\u202fPM, 2:30\u2009–\u20096:00\u202fPM', 'Sunday: Closed']",http://www.colorshop.com.ar/,4.5,"['Excellent atention!!!!\nVery correct quality of the products, the suggestions when making the purchase', 'Excellent atention! Neat place', 'Highly recommended, the best place to buy paintings... very good price and advice.', 'Excellent service, the only business to sell the Sinteplast brand.', 'Affordable prices, very good service...']",,33.0
De todo un poco,"Calle samuel muñoz 332, El Calafate, Santa Cruz, Argentina",-50.3533024,-72.2532137,02966 53-3069,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,3.0,[''],,1.0
Patagonke Aberturas,"Av. 17 de Octubre 1231, El Calafate, Santa Cruz, Argentina",-50.34755519999999,-72.2772176,02902 40-2414,"['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fPM, 2:00\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",https://www.facebook.com/patagonkeaberturas,4.5,"['Variety of openings and also, they work to measure... visit them and they will advise you!!', 'Excellent openings and excellent service', 'Personalized attention, quality products.', 'Acceptable']",,4.0
Lo&Moda,"Gdor. Gregores 1012, Z9405 El Calafate, Santa Cruz, Argentina",-50.3367036,-72.2633409,02966 75-2270,"['Monday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20099:00\u202fPM', 'Sunday: Closed']",,5.0,"['I love this place. You arrive and there is a lot of light, rich aromas, good atmosphere. The clothing is unique, very accessible and of high quality, as are the footwear and accessories. Lorena is very helpful without charging the customer. I always recommend it and always buy. In addition, there are always many payment options and discounts.']",,1.0
Todo Quincho,"almirante brown 1391 esquina, Padre de Agostini, Z9405 El Calafate, Santa Cruz, Argentina",-50.33104,-72.2693805,,"['Monday: 10:30\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20091:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20091:00\u202fPM, 4:00\u2009–\u20098:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20091:00\u202fPM', 'Sunday: Closed']",,3.8,"[""They didn't/wouldn't accept a credit card even though they had a card reader. Either it didn't work out they wanted cash to avoid taxes. ☹️"", 'Bought 2 sandwiches here, and they were great value and tasted great.\nWanted to return the next day for more but, unfortunately, closed before we could get there.', '', '']",,4.0
Tan Bonitas,"Av. del Libertador 830, El Calafate, Santa Cruz, Argentina",-50.3385299,-72.25737800000002,,,,,[],,
Doña Alicia Bazar ~ Regaleria,"Julio Argentino Roca 1382, Z9405 El Calafate, Santa Cruz, Argentina",-50.3398731,-72.26961279999999,,,,,[],,
ARTESANOS,"El Calafate, Santa Cruz Province, Argentina",-50.3382861,-72.26334059999999,,,,,[],,
A Deusa Tendencia,"Barrio Salssiano, Z9405 El Calafate, Santa Cruz, Argentina",-50.3478517,-72.27467659999999,,"['Monday: 9:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']",,,[],,
A todo ritmo indumentaria,"Gdor. Gregores 1122, Z9405 El Calafate, Santa Cruz, Argentina",-50.3367434,-72.2655004,02966 54-9762,,,,[],,
Multimarca Elepants - El Calafate,"9 de Julio 23, El Calafate, Santa Cruz, Argentina",-50.3378996,-72.2650786,,"['Monday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20091:00\u202fPM, 5:00\u2009–\u20098:30\u202fPM', 'Sunday: Closed']",https://elepants.com.ar/,,[],,
Tu me quieres blanca,"Eladio Gumersindo Osorio 21, Z9405 El Calafate, Santa Cruz, Argentina",-50.3493144,-72.2605866,0223 592-7035,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,,[],,
Lucho&andi,"9405 9405, El Calafate, Santa Cruz, Argentina",-50.3379443,-72.26491759999999,02902 41-0822,"['Monday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: Closed']",,,[],,
De moda,"25 de Mayo, El Calafate, Santa Cruz, Argentina",-50.3360532,-72.26671379999999,,"['Monday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20099:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20099:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20099:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20099:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20099:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20091:00\u202fPM, 3:00\u2009–\u20099:00\u202fPM']",,,[],,
